Aeropuerto de Salida,Aeropuerto de Llegada,Código de la Aerolínea,Número de Vuelo,Duración (Minutos),Precio (EUR),Fecha de Salida,Hora de Salida,Fecha de extracción
MAD,FCO,IB,655,145,95.80,2025-02-09,17:10:00,2024-10-19
MAD,FCO,IB,657,145,95.80,2025-02-09,21:50:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-09,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-09,18:00:00,2024-10-19
MAD,FCO,IB,649,145,122.80,2025-02-09,11:30:00,2024-10-19
MAD,FCO,AZ,7117,145,261.80,2025-02-09,15:00:00,2024-10-19
MAD,FCO,AZ,7115,145,285.80,2025-02-09,07:05:00,2024-10-19
MAD,FCO,UX,1043,145,49.80,2025-02-10,07:05:00,2024-10-19
MAD,FCO,UX,1047,145,49.80,2025-02-10,15:00:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-10,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-10,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-10,18:00:00,2024-10-19
MAD,FCO,IB,657,145,84.80,2025-02-10,21:50:00,2024-10-19
MAD,FCO,IB,653,145,95.80,2025-02-10,15:45:00,2024-10-19
MAD,FCO,IB,655,145,95.80,2025-02-10,17:10:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-10,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-10,18:00:00,2024-10-19
MAD,FCO,IB,647,145,122.80,2025-02-10,08:45:00,2024-10-19
MAD,FCO,IB,649,145,122.80,2025-02-10,11:30:00,2024-10-19
MAD,FCO,IB,651,145,122.80,2025-02-10,13:05:00,2024-10-19
MAD,FCO,AZ,7115,145,165.80,2025-02-10,07:05:00,2024-10-19
MAD,FCO,AZ,7117,145,285.80,2025-02-10,15:00:00,2024-10-19
MAD,FCO,UX,1043,145,49.80,2025-02-11,07:05:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-11,05:50:00,2024-10-19
