Aeropuerto de Salida,Aeropuerto de Llegada,Código de la Aerolínea,Número de Vuelo,Duración (Minutos),Precio (EUR),Fecha de Salida,Hora de Salida,Fecha de extracción
MAD,ORY,IB,569,125,127.80,2025-02-05,07:25:00,2024-10-19
MAD,ORY,IB,571,125,127.80,2025-02-05,09:55:00,2024-10-19
MAD,ORY,IB,573,125,127.80,2025-02-05,11:35:00,2024-10-19
MAD,ORY,IB,579,125,127.80,2025-02-05,16:10:00,2024-10-19
MAD,ORY,IB,577,125,253.80,2025-02-05,14:30:00,2024-10-19
MAD,CDG,IB,589,130,108.80,2025-02-06,15:50:00,2024-10-19
MAD,CDG,IB,591,130,108.80,2025-02-06,21:40:00,2024-10-19
MAD,CDG,AF,1001,130,141.30,2025-02-06,10:00:00,2024-10-19
MAD,CDG,6X,1281,130,153.80,2025-02-06,15:30:00,2024-10-19
MAD,CDG,AF,1401,140,200.30,2025-02-06,06:00:00,2024-10-19
MAD,CDG,AF,1301,130,218.30,2025-02-06,12:25:00,2024-10-19
MAD,CDG,AF,1601,130,234.30,2025-02-06,16:20:00,2024-10-19
MAD,CDG,AF,1801,130,234.30,2025-02-06,17:55:00,2024-10-19
MAD,CDG,AF,1101,130,234.30,2025-02-06,20:10:00,2024-10-19
MAD,CDG,IB,585,130,253.80,2025-02-06,09:50:00,2024-10-19
MAD,CDG,SK,9856,130,337.30,2025-02-06,16:20:00,2024-10-19
MAD,CDG,SK,9853,130,337.30,2025-02-06,17:55:00,2024-10-19
MAD,ORY,UX,1025,115,55.80,2025-02-06,16:30:00,2024-10-19
MAD,ORY,UX,1027,115,78.80,2025-02-06,08:00:00,2024-10-19
MAD,ORY,UX,1029,115,100.80,2025-02-06,14:25:00,2024-10-19
MAD,ORY,IB,573,125,108.80,2025-02-06,11:35:00,2024-10-19
MAD,ORY,IB,581,125,108.80,2025-02-06,18:05:00,2024-10-19
MAD,ORY,IB,569,125,127.80,2025-02-06,07:25:00,2024-10-19
MAD,ORY,IB,579,125,127.80,2025-02-06,16:10:00,2024-10-19
MAD,ORY,IB,583,125,178.80,2025-02-06,20:10:00,2024-10-19
MAD,ORY,IB,577,125,253.80,2025-02-06,14:30:00,2024-10-19
