Actividad,Precio (Por persona),Confirmacion Inmediata,Cancelacion Gratuita,Valoracion,Nº Opiniones,Link,Fecha consulta
Oferta: Entradas para los Museos Vaticanos y el Castillo de Sant'Angelo en Roma,63,,No,,,https://www.hellotickets.es/italia/roma/entradas-museos-vaticanos-castillo-sant-angelo/a/pa-8685,2024-10-19 21:07:03.018222
Almuerzo en los Museos Vaticanos,79,,No,,,https://www.hellotickets.es/italia/roma/almuerzo-museos-vaticanos/a/pa-8684,2024-10-19 21:07:03.018222
Entradas nocturnas para los Museos Vaticanos y la Capilla Sixtina,53,,No,,,https://www.hellotickets.es/italia/roma/entradas-nocturnas-museos-vaticanos-capilla-sixtina/a/pa-8683,2024-10-19 21:07:03.018222
Entradas para los Museos Capitolinos y la Centrale Montemartini en Roma,47,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/entradas-museos-capitolinos-centrale-montemartini/a/pa-8681,2024-10-19 21:07:03.018222
Entradas para la cúpula de la Basílica de San Pedro con audioguía,29,Si,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/entradas-cupula-basilica-san-pedro-audioguia/a/pa-8256,2024-10-19 21:07:03.018222
Traslado de ida en autobús desde el aeropuerto de Fiumicino al centro de Roma,6,Si,No,,,https://www.hellotickets.es/italia/roma/traslado-ida-autobus-aeropuerto-fiumicino-centro/a/pa-8255,2024-10-19 21:07:03.018222
Traslado de ida en autobús desde el centro de Roma al aeropuerto de Fiumicino,6,Si,No,,,https://www.hellotickets.es/italia/roma/traslado-ida-autobus-aeropuerto-centro-fiumicino/a/pa-8254,2024-10-19 21:07:03.018222
Tour guiado por Roma con entradas para el Coliseo,35,,No,,,https://www.hellotickets.es/italia/roma/tour-guiado-entradas-coliseo/a/pa-8247,2024-10-19 21:07:03.018222
Visita guiada al Vaticano y a la Capilla Sixtina en grupos pequeños,88,Si,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/visita-guiada-vaticano-capilla-grupo-pequeno/a/pa-8246,2024-10-19 21:07:03.018222
Visita guiada a la Basílica de San Pedro y a los Museos Vaticanos,87,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/visita-guiada-basilica-san-pedro-museos-vaticanos/a/pa-8245,2024-10-19 21:07:03.018222
Visita guiada a los Museos Vaticanos y a la Basílica de San Pedro,115,Si,No,,,https://www.hellotickets.es/italia/roma/visita-guiada-museos-vaticanos-basilica-san-pedro/a/pa-8244,2024-10-19 21:07:03.018222
Rome Explorer Pass,90,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/rome-explorer-pass/a/pa-8159,2024-10-19 21:07:03.018222
Excursión a Ostia Antica desde Roma en tren,50,,Cancelación gratuita,4.7,440,https://www.hellotickets.es/italia/roma/excursion-ostia-antica-tren/a/pa-6714,2024-10-19 21:07:03.018222
Traslado en taxi a Ostia Antica desde Roma,150,Si,Cancelación gratuita,4.6,777,https://www.hellotickets.es/italia/roma/traslado-taxi-ostia-antica/a/pa-6713,2024-10-19 21:07:03.018222
"Excursión de 5 días desde Roma por lo mejor de Italia: Asís, Siena, Florencia, Venecia y más",639,,Cancelación gratuita,4.5,429,https://www.hellotickets.es/italia/roma/excursion-5-dias-italia/a/pa-6712,2024-10-19 21:07:03.018222
Excursión a Venecia desde Roma en tren de alta velocidad,273,Si,No,4.9,1552,https://www.hellotickets.es/italia/roma/excursion-venecia-tren-alta-velocidad/a/pa-6711,2024-10-19 21:07:03.018222
"Tour privado en bicicleta por la Vía Apia, los acueductos y las catacumbas",68,Si,Cancelación gratuita,4.7,448,https://www.hellotickets.es/italia/roma/tour-privado-bicicleta-via-apia-catacumbas/a/pa-6710,2024-10-19 21:07:03.018222
Tour guiado por las catacumbas y la capilla de los huesos después del cierre,96,Si,Cancelación gratuita,4.5,1100,https://www.hellotickets.es/italia/roma/tour-catacumbas-despues-cierre/a/pa-6709,2024-10-19 21:07:03.018222
Visita guiada a la Vía Apia y a las catacumbas de San Calixto,75,Si,Cancelación gratuita,4.8,700,https://www.hellotickets.es/italia/roma/visita-guiada-via-apia-catacumbas-san-calixto/a/pa-6708,2024-10-19 21:07:03.018222
Tour en bicicleta por las catacumbas de San Calixto o San Sebastián,85,Si,Cancelación gratuita,4.7,956,https://www.hellotickets.es/italia/roma/tour-bicicleta-catacumbas/a/pa-6707,2024-10-19 21:07:03.018222
Visita guiada a las catacumbas de los Santos Marcelino y Pedro,15,Si,No,4.6,759,https://www.hellotickets.es/italia/roma/visita-guiada-catacumbas-santos-marcelino-pedro/a/pa-6706,2024-10-19 21:07:03.018222
Visita guiada a las catacumbas de Santa Inés,15,Si,No,4.8,776,https://www.hellotickets.es/italia/roma/visita-guiada-catacumbas-santa-ines/a/pa-6705,2024-10-19 21:07:03.018222
Visita guiada a las catacumbas de San Calixto y entradas para la Basílica de San Juan de Letrán,24,Si,No,4.7,490,https://www.hellotickets.es/italia/roma/visita-guiada-catacumbas-san-calixto-entradas-basilica-san-juan-letran/a/pa-6704,2024-10-19 21:07:03.018222
Autobús panorámico y visita guiada a las catacumbas de Roma,54,Si,Cancelación gratuita,4.5,718,https://www.hellotickets.es/italia/roma/autobus-panoramico-visita-guiada-catacumbas/a/pa-6703,2024-10-19 21:07:03.018222
Visita guiada exprés al Castillo de Sant'Angelo en Roma,45,Si,Cancelación gratuita,4.6,427,https://www.hellotickets.es/italia/roma/visita-guiada-expres-castillo-sant-angelo/a/pa-6701,2024-10-19 21:07:03.018222
Entradas sin colas para el Castillo de Sant'Angelo en Roma,23,,Cancelación gratuita,4.6,1187,https://www.hellotickets.es/italia/roma/entradas-castillo-sant-angelo-sin-colas/a/pa-6700,2024-10-19 21:07:03.018222
Entradas para el Castillo de Sant'Angelo y visita guiada exprés en Roma,45,Si,Cancelación gratuita,4.8,1225,https://www.hellotickets.es/italia/roma/entradas-castillo-sant-angelo-visita-guiada-expres/a/pa-6699,2024-10-19 21:07:03.018222
Entradas con audioguia para el Castillo de Sant'Angelo en Roma,32,Si,Cancelación gratuita,4.6,918,https://www.hellotickets.es/italia/roma/entradas-castillo-sant-angelo-audioguia/a/pa-6698,2024-10-19 21:07:03.018222
Traslado en taxi a Castel Gandolfo desde Roma,85,Si,Cancelación gratuita,4.5,690,https://www.hellotickets.es/italia/roma/traslado-taxi-castel-gandolfo/a/pa-6696,2024-10-19 21:07:03.018222
Tour en kayak en Castel Gandolfo con cata de vino,64,Si,Cancelación gratuita,4.9,1080,https://www.hellotickets.es/italia/roma/tour-kayak-castel-gandolfo-cata-vino/a/pa-6692,2024-10-19 21:07:03.018222
Tour en kayak en Castel Gandolfo,42,Si,Cancelación gratuita,4.6,512,https://www.hellotickets.es/italia/roma/tour-kayak-castel-gandolfo/a/pa-6691,2024-10-19 21:07:03.018222
Excursión privada a Capri desde Roma,1,Si,Cancelación gratuita,4.6,859,https://www.hellotickets.es/italia/roma/excursion-privada-capri/a/pa-6690,2024-10-19 21:07:03.018222
"Excursión de 3 días a Pompeya, Sorrento y Capri desde Roma",773,,Cancelación gratuita,4.6,961,https://www.hellotickets.es/italia/roma/excursion-3-dias-pompeya-sorrento-capri/a/pa-6688,2024-10-19 21:07:03.018222
"Tour al Coliseo, Foro Romano y Colina Palatina con realidad virtual",60,Si,No,4.7,958,https://www.hellotickets.es/italia/roma/tour-coliseo-realidad-virtual/a/pa-6686,2024-10-19 21:07:03.018222
Visita guiada al Coliseo con acceso a la arena,31,Si,Cancelación gratuita,4.6,456,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-acceso-arena/a/pa-6685,2024-10-19 21:07:03.018222
"Visita guiada al Coliseo, al Foro Romano y al Monte Palatino",20,,Cancelación gratuita,4.7,1232,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-foro-romano-monte-palatino/a/pa-6684,2024-10-19 21:07:03.018222
"Visita guiada del Coliseo, el Foro Romano y el Palatino para grupos reducidos",74,Si,Cancelación gratuita,4.6,1063,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-grupos-reducidos/a/pa-6683,2024-10-19 21:07:03.018222
"Visita guiada al Coliseo, a la arena, al Foro Romano y al Monte Palatino",59,,Cancelación gratuita,4.6,982,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-con-arena-foro-romano-monte-palatino/a/pa-6682,2024-10-19 21:07:03.018222
"Visita guiada al Coliseo, Foro Romano, Panteón y Piazza Navona",68,Si,Cancelación gratuita,4.5,853,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-foro-romano-panteon/a/pa-6681,2024-10-19 21:07:03.018222
Clase de cocina de pasta con Spritz en Roma,88,Si,Cancelación gratuita,4.7,968,https://www.hellotickets.es/italia/roma/clase-cocina/a/pa-6680,2024-10-19 21:07:03.018222
Audioguía para la Basílica de San Pedro,6,Si,Cancelación gratuita,4.7,388,https://www.hellotickets.es/italia/roma/audioguia-basilica-san-pedro/a/pa-6678,2024-10-19 21:07:03.018222
Entradas de primera hora para los Museos Vaticanos y la Capilla Sixtina con desayuno,85,Si,No,4.6,394,https://www.hellotickets.es/italia/roma/entradas-museos-vaticanos-desayuno/a/pa-6677,2024-10-19 21:07:03.018222
Visita guiada oficial a los Museos Vaticanos y a la Capilla Sixtina,90,Si,No,4.6,1224,https://www.hellotickets.es/italia/roma/visita-guiada-oficial-museos-vaticanos/a/pa-6676,2024-10-19 21:07:03.018222
Excursión a Montepulciano y Pienza desde Roma,564,Si,No,4.8,995,https://www.hellotickets.es/italia/roma/excursion-montepulciano-pienza/a/pa-6675,2024-10-19 21:07:03.018222
Excursión del vino por la Toscana desde Roma,190,Si,Cancelación gratuita,4.7,1339,https://www.hellotickets.es/italia/roma/excursion-vino-toscana/a/pa-6674,2024-10-19 21:07:03.018222
Excursión a la Toscana desde Roma,122,Si,Cancelación gratuita,4.5,1305,https://www.hellotickets.es/italia/roma/excursion-toscana/a/pa-6673,2024-10-19 21:07:03.018222
Excursión a Tívoli desde Roma con entradas para la Villa del Este y clase de cocina,246,Si,Cancelación gratuita,4.8,1019,https://www.hellotickets.es/italia/roma/excursion-tivoli/a/pa-6672,2024-10-19 21:07:03.018222
Excursión a Villa Adriana y a Villa del Este desde Roma,93,Si,Cancelación gratuita,4.7,1539,https://www.hellotickets.es/italia/roma/excursion-villa-adriana-villa-este/a/pa-6671,2024-10-19 21:07:03.018222
Excursión a Villa del Este y a Villa Adriana desde Roma,83,Si,Cancelación gratuita,4.6,577,https://www.hellotickets.es/italia/roma/excursion-villa-este-villa-adriana/a/pa-6670,2024-10-19 21:07:03.018222
Traslado en taxi a Tívoli desde Roma,230,Si,Cancelación gratuita,4.8,650,https://www.hellotickets.es/italia/roma/traslado-taxi-tivoli/a/pa-6669,2024-10-19 21:07:03.018222
"Excursión a Siena y San Gimignano desde Roma con almuerzo, cata de vino y recogida en el hotel",200,Si,Cancelación gratuita,4.7,1216,https://www.hellotickets.es/italia/roma/excursion-siena-san-gimignano-almuerzo-cata-vino-recogida-hotel/a/pa-6668,2024-10-19 21:07:03.018222
Excursión privada a Siena y San Gimignano desde Roma,357,Si,Cancelación gratuita,4.7,871,https://www.hellotickets.es/italia/roma/excursion-privada-siena-san-gimignano/a/pa-6666,2024-10-19 21:07:03.018222
Excursión a Pompeya y Nápoles desde Roma con almuerzo y cata de vino,246,Si,Cancelación gratuita,4.7,798,https://www.hellotickets.es/italia/roma/excursion-pompeya-napoles-almuerzo/a/pa-6665,2024-10-19 21:07:03.018222
Excursión a Pompeya desde Roma con almuerzo y cata de vino en tren de alta velocidad,221,,Cancelación gratuita,4.9,1213,https://www.hellotickets.es/italia/roma/excursion-pompeya-almuerzo-cata-vino/a/pa-6664,2024-10-19 21:07:03.018222
Excursión a Pompeya desde Roma en tren de alta velocidad con almuerzo y cata de vino,211,Si,Cancelación gratuita,4.6,444,https://www.hellotickets.es/italia/roma/excursion-pompeya-tren-alta-velocidad/a/pa-6663,2024-10-19 21:07:03.018222
Visita guiada privada al Panteón de Roma,83,Si,Cancelación gratuita,4.6,1183,https://www.hellotickets.es/italia/roma/visita-guiada-privada-panteon/a/pa-6662,2024-10-19 21:07:03.018222
Excursión a Ostia Antica desde Roma en minibús,236,,Cancelación gratuita,4.6,1015,https://www.hellotickets.es/italia/roma/excursion-ostia-antica-minibus/a/pa-6661,2024-10-19 21:07:03.018222
Visita guiada para grupos reducidos a la Galería Borghese en Roma,75,Si,Cancelación gratuita,4.5,859,https://www.hellotickets.es/italia/roma/visita-guiada-galeria-borghese-grupos-reducidos/a/pa-6639,2024-10-19 21:07:03.018222
Visita guiada a la Galería Borghese y a sus jardines en Roma,95,Si,Cancelación gratuita,4.9,947,https://www.hellotickets.es/italia/roma/visita-guiada-galeria-borghese-jardines/a/pa-6638,2024-10-19 21:07:03.018222
Clase de cocina de pasta con cata de vino en Frascati,45,Si,Cancelación gratuita,4.6,535,https://www.hellotickets.es/italia/roma/clase-cocina-pasta-frascati/a/pa-6637,2024-10-19 21:07:03.018222
Visita a la Cripta de los Capuchinos con concierto de ópera en Roma,68,Si,No,4.7,476,https://www.hellotickets.es/italia/roma/visita-cripta-capuchinos-concierto-opera/a/pa-6635,2024-10-19 21:07:03.018222
Entradas para un concierto de ópera de La Traviata con ballet en Roma,36,Si,Cancelación gratuita,4.7,1264,https://www.hellotickets.es/italia/roma/entradas-concierto-opera-con-ballet/a/pa-6634,2024-10-19 21:07:03.018222
"Visita guiada con acceso prioritario al Coliseo, al Foro Romano y al Monte Palatino",40,Si,No,4.6,558,https://www.hellotickets.es/italia/roma/visita-guiada-acceso-prioritario-coliseo-foro-romano-monte-palatino/a/pa-6633,2024-10-19 21:07:03.018222
Excursión a Capri desde Roma en tren,294,Si,Cancelación gratuita,4.5,680,https://www.hellotickets.es/italia/roma/excursion-capri-tren/a/pa-6632,2024-10-19 21:07:03.018222
Autobús turístico nocturno en Roma,19,,Cancelación gratuita,4.6,902,https://www.hellotickets.es/italia/roma/autobus-turistico-nocturno/a/pa-6630,2024-10-19 21:07:03.018222
Autobús turístico I Love Rome,30,Si,Cancelación gratuita,4.6,636,https://www.hellotickets.es/italia/roma/autobus-turistico-i-love-rome/a/pa-6629,2024-10-19 21:07:03.018222
Autobús turístico IOBUS de Roma,25,Si,Cancelación gratuita,4.7,497,https://www.hellotickets.es/italia/roma/autobus-turistico-iobus/a/pa-6628,2024-10-19 21:07:03.018222
